tipSampleSeparation,vDeflection,height,head-height,smoothedCapacitiveSensorHeight,capacitiveSensorHeight,smoothedMeasuredHeight,measuredHeight,seriesTime,time
6.732583e-08,-1.2055201e-09,8.020057e-06,6.3219704e-06,7.1708264e-08,7.183191e-08,7.1708264e-08,7.183191e-08,4.932709,0.022509003
6.8217325e-08,-1.2384909e-09,8.021471e-06,6.3230855e-06,7.271962e-08,7.279944e-08,7.271962e-08,7.279944e-08,4.932909,0.022709083
6.925547e-08,-1.230872e-09,8.022925e-06,6.3242305e-06,7.373007e-08,7.378166e-08,7.373007e-08,7.378166e-08,4.9331093,0.022909164
7.012302e-08,-1.2704322e-09,8.024344e-06,6.3253497e-06,7.474143e-08,7.464834e-08,7.474143e-08,7.464834e-08,4.933309,0.023109244
7.0919825e-08,-1.3294519e-09,8.025825e-06,6.326517e-06,7.575279e-08,7.5532796e-08,7.575279e-08,7.5532796e-08,4.9335093,0.023309324
7.179435e-08,-1.3668421e-09,8.027278e-06,6.327663e-06,7.6763236e-08,7.6966145e-08,7.6763236e-08,7.6966145e-08,4.9337096,0.023509404
7.276786e-08,-1.3772521e-09,8.028652e-06,6.3287453e-06,7.7774594e-08,7.808282e-08,7.7774594e-08,7.808282e-08,4.9339094,0.023709483
7.362908e-08,-1.4183025e-09,8.03006e-06,6.3298553e-06,7.878504e-08,7.865949e-08,7.878504e-08,7.865949e-08,4.9341097,0.023909563
7.451743e-08,-1.451889e-09,8.031506e-06,6.3309953e-06,7.979549e-08,7.970506e-08,7.979549e-08,7.970506e-08,4.9343095,0.024109643
7.5404955e-08,-1.4859527e-09,8.032973e-06,6.3321513e-06,8.080685e-08,8.0661735e-08,8.080685e-08,8.0661735e-08,4.9345098,0.024309725
7.63957e-08,-1.4913736e-09,8.034394e-06,6.333272e-06,8.18173e-08,8.200174e-08,8.18173e-08,8.200174e-08,4.93471,0.024509804
7.7948265e-08,-1.3422479e-09,8.035808e-06,6.334386e-06,8.2827746e-08,8.2768416e-08,8.2827746e-08,8.2768416e-08,4.93491,0.024709884
7.944928e-08,-1.2073019e-09,8.03722e-06,6.3354996e-06,8.3838195e-08,8.3957374e-08,8.3838195e-08,8.3957374e-08,4.93511,0.024909964
8.045763e-08,-1.2078786e-09,8.038621e-06,6.3366037e-06,8.4848644e-08,8.509178e-08,8.4848644e-08,8.509178e-08,4.93531,0.025110044
8.143436e-08,-1.217156e-09,8.039988e-06,6.337681e-06,8.585909e-08,8.590956e-08,8.585909e-08,8.590956e-08,4.93551,0.025310123
8.2224524e-08,-1.2775e-09,8.041429e-06,6.3388175e-06,8.686863e-08,8.683847e-08,8.686863e-08,8.683847e-08,4.9357104,0.025510205
