tipSampleSeparation,vDeflection,height,smoothedMeasuredHeight,measuredHeight,seriesTime,time
-2.7950357e-08,8.910909e-10,7.867066e-06,-3.177859e-08,-3.1189746e-08,1.0627,0.1425
-2.8031204e-08,8.728868e-10,7.867054e-06,-3.1783138e-08,-3.1204415e-08,1.0637,0.1435
-2.7929188e-08,8.917801e-10,7.867054e-06,-3.1788595e-08,-3.1171083e-08,1.0647,0.1445
-2.8029136e-08,8.782255e-10,7.867075e-06,-3.1794052e-08,-3.1221756e-08,1.0657,0.1455
-2.8003061e-08,8.7482016e-10,7.867097e-06,-3.179951e-08,-3.11833e-08,1.0667,0.1465
-2.798751e-08,8.695018e-10,7.867107e-06,-3.1804966e-08,-3.1148414e-08,1.0677,0.1475
-2.7951685e-08,8.793562e-10,7.867112e-06,-3.1809513e-08,-3.1148414e-08,1.0687,0.1485
-2.8056427e-08,8.734674e-10,7.867184e-06,-3.181497e-08,-3.123175e-08,1.0697,0.1495
-2.7856817e-08,8.8112306e-10,7.867181e-06,-3.1820427e-08,-3.105997e-08,1.0707,0.1505
-2.7999212e-08,8.8034424e-10,7.867202e-06,-3.1825884e-08,-3.1199534e-08,1.0717,0.1515
-2.7906099e-08,8.835836e-10,7.867299e-06,-3.183043e-08,-3.1118194e-08,1.0727,0.1525
-2.7957356e-08,8.7223295e-10,7.8672965e-06,-3.183589e-08,-3.1128188e-08,1.0737,0.1535
-2.7805218e-08,8.7233404e-10,7.867281e-06,-3.1841346e-08,-3.097642e-08,1.0747,0.1545
-2.7893233e-08,8.7807583e-10,7.867207e-06,-3.1846803e-08,-3.1085307e-08,1.0757,0.1555
-2.781464e-08,8.7958313e-10,7.867244e-06,-3.185135e-08,-3.1012192e-08,1.0767,0.1565
-2.7944955e-08,8.757663e-10,7.867237e-06,-3.1856807e-08,-3.1128632e-08,1.0777,0.1575
-2.7937045e-08,8.8271207e-10,7.867337e-06,-3.1862264e-08,-3.1145973e-08,1.0787,0.1585
-2.7925935e-08,8.687124e-10,7.867411e-06,-3.186681e-08,-3.108397e-08,1.0797,0.1595
-2.7904123e-08,8.6584745e-10,7.867454e-06,-3.187227e-08,-3.1051744e-08,1.0807,0.1605
-2.7756549e-08,8.8290986e-10,7.8674675e-06,-3.1877725e-08,-3.09662e-08,1.0817,0.1615
-2.7690083e-08,8.763747e-10,7.8674175e-06,-3.1883182e-08,-3.0875974e-08,1.0827,0.1625
-2.794375e-08,8.6271057e-10,7.867377e-06,-3.188773e-08,-3.1079967e-08,1.0837,0.1635
-2.7879352e-08,8.562182e-10,7.86745e-06,-3.1893187e-08,-3.0991966e-08,1.0847,0.1645
-2.7869321e-08,8.607507e-10,7.867476e-06,-3.1898644e-08,-3.0998415e-08,1.0857,0.1655
-2.7738354e-08,8.715314e-10,7.867445e-06,-3.190319e-08,-3.0906637e-08,1.0867,0.1665
-2.792763e-08,8.587101e-10,7.867487e-06,-3.1908648e-08,-3.1049304e-08,1.0877,0.1675
-2.7801653e-08,8.6230967e-10,7.867542e-06,-3.1914105e-08,-3.0936413e-08,1.0887,0.1685
-2.7801484e-08,8.721967e-10,7.867557e-06,-3.1918653e-08,-3.0972185e-08,1.0897,0.1695
-2.7814398e-08,8.556244e-10,7.867573e-06,-3.192411e-08,-3.0924856e-08,1.0907,0.1705
-2.7783706e-08,8.571008e-10,7.86758e-06,-3.1929567e-08,-3.089953e-08,1.0917,0.1715
-2.7746047e-08,8.566995e-10,7.867548e-06,-3.1934114e-08,-3.0860413e-08,1.0927,0.1725
-2.7762423e-08,8.6362667e-10,7.867516e-06,-3.193957e-08,-3.0901973e-08,1.0937,0.1735
-2.7796595e-08,8.611335e-10,7.867581e-06,-3.1945028e-08,-3.092708e-08,1.0947,0.1745
-2.766091e-08,8.6917684e-10,7.867574e-06,-3.1949575e-08,-3.0820633e-08,1.0957,0.1755
-2.776582e-08,8.654417e-10,7.867567e-06,-3.1955032e-08,-3.0911966e-08,1.0967,0.1765
-2.766969e-08,8.6926866e-10,7.867569e-06,-3.196049e-08,-3.082975e-08,1.0977,0.1775
-2.7735396e-08,8.656201e-10,7.867592e-06,-3.1965037e-08,-3.088219e-08,1.0987,0.1785
-2.7682965e-08,8.6953006e-10,7.867593e-06,-3.1970494e-08,-3.0843974e-08,1.0997,0.1795
-2.7707625e-08,8.5834406e-10,7.867602e-06,-3.197504e-08,-3.082797e-08,1.1007,0.1805
-2.7763198e-08,8.7007573e-10,7.867627e-06,-3.19805e-08,-3.092619e-08,1.1017,0.1815
-2.771388e-08,8.616355e-10,7.867697e-06,-3.1985955e-08,-3.0846188e-08,1.1027,0.1825
-2.7676775e-08,8.531988e-10,7.867694e-06,-3.1990503e-08,-3.0778413e-08,1.1037,0.1835
-2.7755604e-08,8.467338e-10,7.867721e-06,-3.199596e-08,-3.0833743e-08,1.1047,0.1845
-2.7638162e-08,8.55567e-10,7.867694e-06,-3.2000507e-08,-3.074841e-08,1.1057,0.1855
-2.7734087e-08,8.6121343e-10,7.867717e-06,-3.2005964e-08,-3.086486e-08,1.1067,0.1865
-2.7653728e-08,8.584995e-10,7.867785e-06,-3.201142e-08,-3.0774636e-08,1.1077,0.1875
-2.7691751e-08,8.684563e-10,7.867801e-06,-3.201597e-08,-3.0848856e-08,1.1087,0.1885
-2.7634275e-08,8.5730784e-10,7.867844e-06,-3.2021426e-08,-3.075085e-08,1.1097,0.1895
-2.7610099e-08,8.4794444e-10,7.867752e-06,-3.2025973e-08,-3.0692636e-08,1.1107,0.1905
-2.7724303e-08,8.5485796e-10,7.867765e-06,-3.203143e-08,-3.0831973e-08,1.1117,0.1915
-2.7619768e-08,8.547586e-10,7.867827e-06,-3.2035977e-08,-3.072708e-08,1.1127,0.1925
-2.7596426e-08,8.7169516e-10,7.867797e-06,-3.2041434e-08,-3.0765307e-08,1.1137,0.1935
-2.7592598e-08,8.684082e-10,7.867862e-06,-3.2045982e-08,-3.074953e-08,1.1147,0.1945
-2.758115e-08,8.59209e-10,7.867858e-06,-3.205144e-08,-3.0704637e-08,1.1157,0.1955
-2.7549724e-08,8.724983e-10,7.867825e-06,-3.2055986e-08,-3.0721523e-08,1.1167,0.1965
-2.7632401e-08,8.5110163e-10,7.867837e-06,-3.2061443e-08,-3.0726415e-08,1.1177,0.1975
-2.7543802e-08,8.663636e-10,7.867843e-06,-3.20669e-08,-3.06933e-08,1.1187,0.1985
-2.7552067e-08,8.5479834e-10,7.867817e-06,-3.2071448e-08,-3.065952e-08,1.1197,0.1995
-2.7567383e-08,8.533374e-10,7.867789e-06,-3.2076905e-08,-3.0669526e-08,1.1207,0.2005
-2.76185e-08,8.574924e-10,7.8677795e-06,-3.2081452e-08,-3.0735748e-08,1.1217,0.2015
-2.7516924e-08,8.7491864e-10,7.867844e-06,-3.208691e-08,-3.069752e-08,1.1227,0.2025
