Filename	Position Index	X Position	Y Position	Baseline Offset [N]	Baseline Slope [N]	Contact Point Offset [m]
WT_2_3um_Durchmesser-2016.10.26-13.44.59.517.jpk-force	40	1.56319e-05	2.33983e-05	-4.44853e-09	0.000119676	9.30174e-06
WT_2_3um_Durchmesser-2016.10.26-13.45.04.556.jpk-force	41	1.56638e-05	2.33983e-05	-4.50781e-09	0.000121925	9.30986e-06
WT_2_3um_Durchmesser-2016.10.26-13.45.09.592.jpk-force	42	1.56957e-05	2.33983e-05	-4.49629e-09	0.000116934	9.32268e-06
WT_2_3um_Durchmesser-2016.10.26-13.45.14.630.jpk-force	43	1.57276e-05	2.33983e-05	-4.56062e-09	0.000121337	9.32246e-06
WT_2_3um_Durchmesser-2016.10.26-13.45.19.671.jpk-force	44	1.57594e-05	2.33983e-05	-4.79463e-09	0.000141885	9.32608e-06
WT_2_3um_Durchmesser-2016.10.26-13.45.24.711.jpk-force	45	1.57913e-05	2.33983e-05	-4.72041e-09	0.000129758	9.33171e-06
WT_2_3um_Durchmesser-2016.10.26-13.45.29.747.jpk-force	46	1.58232e-05	2.33983e-05	-3.77380e-09	2.78433e-05	9.32846e-06
WT_2_3um_Durchmesser-2016.10.26-13.45.34.790.jpk-force	47	1.58551e-05	2.33983e-05	-4.67925e-09	0.000118804	9.33310e-06
WT_2_3um_Durchmesser-2016.10.26-13.45.39.830.jpk-force	48	1.58870e-05	2.33983e-05	-3.75939e-09	1.97719e-05	9.33132e-06
WT_2_3um_Durchmesser-2016.10.26-13.45.44.872.jpk-force	49	1.59189e-05	2.33983e-05	-4.11045e-09	5.28569e-05	9.32925e-06
WT_2_3um_Durchmesser-2016.10.26-13.45.49.913.jpk-force	50	1.59189e-05	2.34302e-05	-3.62872e-09	4.40941e-07	9.32899e-06
WT_2_3um_Durchmesser-2016.10.26-13.45.54.945.jpk-force	51	1.58870e-05	2.34302e-05	-3.95701e-09	3.25567e-05	9.34272e-06
WT_2_3um_Durchmesser-2016.10.26-13.45.59.977.jpk-force	52	1.58551e-05	2.34302e-05	-3.38317e-09	-3.11763e-05	9.35938e-06
WT_2_3um_Durchmesser-2016.10.26-13.46.05.012.jpk-force	53	1.58232e-05	2.34302e-05	-4.37213e-09	6.92844e-05	9.36898e-06
WT_2_3um_Durchmesser-2016.10.26-13.46.10.044.jpk-force	54	1.57913e-05	2.34302e-05	-3.50701e-09	-2.25274e-05	9.38719e-06
WT_2_3um_Durchmesser-2016.10.26-13.46.15.077.jpk-force	55	1.57594e-05	2.34302e-05	-3.95546e-09	2.03118e-05	9.39871e-06
WT_2_3um_Durchmesser-2016.10.26-13.46.20.109.jpk-force	56	1.57276e-05	2.34302e-05	-4.18368e-09	3.96410e-05	9.41555e-06
WT_2_3um_Durchmesser-2016.10.26-13.46.25.141.jpk-force	57	1.56957e-05	2.34302e-05	-4.32934e-09	5.19011e-05	9.43245e-06
WT_2_3um_Durchmesser-2016.10.26-13.46.30.172.jpk-force	58	1.56638e-05	2.34302e-05	-2.97612e-09	-9.13820e-05	9.45300e-06
WT_2_3um_Durchmesser-2016.10.26-13.46.35.213.jpk-force	59	1.56319e-05	2.34302e-05	-3.36648e-09	-5.30191e-05	9.50193e-06
WT_2_3um_Durchmesser-2016.10.26-13.46.40.248.jpk-force	60	1.56319e-05	2.34621e-05	-4.44651e-09	5.70645e-05	9.50688e-06
WT_2_3um_Durchmesser-2016.10.26-13.46.45.294.jpk-force	61	1.56638e-05	2.34621e-05	-3.22573e-09	-7.16925e-05	9.49802e-06
WT_2_3um_Durchmesser-2016.10.26-13.46.50.339.jpk-force	62	1.56957e-05	2.34621e-05	-3.71424e-09	-2.27551e-05	9.49344e-06
WT_2_3um_Durchmesser-2016.10.26-13.46.55.384.jpk-force	63	1.57276e-05	2.34621e-05	-4.14006e-09	1.64290e-05	9.47997e-06
WT_2_3um_Durchmesser-2016.10.26-13.47.00.432.jpk-force	64	1.57594e-05	2.34621e-05	-4.22957e-09	2.21827e-05	9.47077e-06
WT_2_3um_Durchmesser-2016.10.26-13.47.05.479.jpk-force	65	1.57913e-05	2.34621e-05	-3.29844e-09	-7.53157e-05	9.45555e-06
WT_2_3um_Durchmesser-2016.10.26-13.47.10.526.jpk-force	66	1.58232e-05	2.34621e-05	-4.98499e-09	9.78989e-05	9.44149e-06
WT_2_3um_Durchmesser-2016.10.26-13.47.15.575.jpk-force	67	1.58551e-05	2.34621e-05	-4.01011e-09	-7.19694e-06	9.40387e-06
WT_2_3um_Durchmesser-2016.10.26-13.47.20.624.jpk-force	68	1.58870e-05	2.34621e-05	-5.39043e-09	0.000133439	9.40609e-06
WT_2_3um_Durchmesser-2016.10.26-13.47.25.672.jpk-force	69	1.59189e-05	2.34621e-05	-5.72790e-09	0.000167262	9.39049e-06
WT_2_3um_Durchmesser-2016.10.26-13.47.30.714.jpk-force	70	1.59189e-05	2.34940e-05	-4.57672e-09	4.48874e-05	9.37629e-06
WT_2_3um_Durchmesser-2016.10.26-13.47.35.736.jpk-force	71	1.58870e-05	2.34940e-05	-3.60463e-09	-6.00492e-05	9.40778e-06
WT_2_3um_Durchmesser-2016.10.26-13.47.40.759.jpk-force	72	1.58551e-05	2.34940e-05	-4.81147e-09	6.43438e-05	9.43944e-06
WT_2_3um_Durchmesser-2016.10.26-13.47.45.783.jpk-force	73	1.58232e-05	2.34940e-05	-2.89267e-09	-0.000141363	9.46961e-06
WT_2_3um_Durchmesser-2016.10.26-13.47.50.806.jpk-force	74	1.57913e-05	2.34940e-05	-1.71355e-09	-0.000262544	9.50142e-06
WT_2_3um_Durchmesser-2016.10.26-13.47.55.830.jpk-force	75	1.57594e-05	2.34940e-05	-2.78536e-09	-0.000156710	9.53369e-06
WT_2_3um_Durchmesser-2016.10.26-13.48.00.853.jpk-force	76	1.57276e-05	2.34940e-05	-1.14789e-09	-0.000325500	9.55929e-06
WT_2_3um_Durchmesser-2016.10.26-13.48.05.877.jpk-force	77	1.56957e-05	2.34940e-05	3.08180e-10	-0.000477766	9.58753e-06
WT_2_3um_Durchmesser-2016.10.26-13.48.10.906.jpk-force	78	1.56638e-05	2.34940e-05	-3.81132e-09	-5.81639e-05	9.61817e-06
WT_2_3um_Durchmesser-2016.10.26-13.48.15.934.jpk-force	79	1.56319e-05	2.34940e-05	-5.40613e-09	0.000100217	9.66547e-06
WT_2_3um_Durchmesser-2016.10.26-13.48.20.975.jpk-force	80	1.56319e-05	2.35259e-05	-4.70924e-09	2.65701e-05	9.65557e-06
WT_2_3um_Durchmesser-2016.10.26-13.48.26.019.jpk-force	81	1.56638e-05	2.35259e-05	-4.82579e-09	3.65379e-05	9.63249e-06
WT_2_3um_Durchmesser-2016.10.26-13.48.31.066.jpk-force	82	1.56957e-05	2.35259e-05	-4.43283e-09	-5.62931e-06	9.60960e-06
WT_2_3um_Durchmesser-2016.10.26-13.48.36.114.jpk-force	83	1.57276e-05	2.35259e-05	-4.30856e-09	-2.21582e-05	9.60122e-06
WT_2_3um_Durchmesser-2016.10.26-13.48.41.161.jpk-force	84	1.57594e-05	2.35259e-05	-4.13719e-09	-4.14044e-05	9.57962e-06
WT_2_3um_Durchmesser-2016.10.26-13.48.46.209.jpk-force	85	1.57913e-05	2.35259e-05	-3.63109e-09	-9.54053e-05	9.56398e-06
WT_2_3um_Durchmesser-2016.10.26-13.48.51.257.jpk-force	86	1.58232e-05	2.35259e-05	-4.07593e-09	-5.36952e-05	9.53893e-06
WT_2_3um_Durchmesser-2016.10.26-13.48.56.307.jpk-force	87	1.58551e-05	2.35259e-05	-3.66122e-09	-9.74149e-05	9.52386e-06
WT_2_3um_Durchmesser-2016.10.26-13.49.01.352.jpk-force	88	1.58870e-05	2.35259e-05	-3.90494e-09	-7.59265e-05	9.50889e-06
WT_2_3um_Durchmesser-2016.10.26-13.49.06.400.jpk-force	89	1.59189e-05	2.35259e-05	-5.10608e-09	4.56036e-05	9.49446e-06
WT_2_3um_Durchmesser-2016.10.26-13.49.11.441.jpk-force	90	1.59189e-05	2.35578e-05	-4.73795e-09	3.39671e-06	9.49418e-06
WT_2_3um_Durchmesser-2016.10.26-13.49.16.468.jpk-force	91	1.58870e-05	2.35578e-05	-4.11010e-09	-6.45634e-05	9.51508e-06
WT_2_3um_Durchmesser-2016.10.26-13.49.21.493.jpk-force	92	1.58551e-05	2.35578e-05	-5.04907e-09	2.97666e-05	9.54284e-06
